param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,APPR_SPANS_046,-0.0010511173263761525,0.9989494349039375,0.00023025036655814867,-0.0015023997522572697,-0.0005998349004950354,0.9984987282852587,0.9994003449644939,0.0,-4.565105984796327,4.992420512921086e-06,17.61182911141506
lambda_,APPR_SPANS_046_missing,-0.0020765281793319857,0.9979256263137612,0.0126340104495417,-0.026838733640736415,0.022685677282072447,0.9735182246057106,1.0229449541707851,0.0,-0.16436017586223478,0.8694476122311147,0.2018289930039385
lambda_,APPR_WIDTH_MT_032,-0.0077766177254414886,0.9922535419354926,0.00052113089001777,-0.008798015501107622,-0.006755219949775355,0.9912405737846361,0.9932675452583364,0.0,-14.922580630705493,2.3500581337387693e-50,164.8637082989739
lambda_,APPR_WIDTH_MT_032_missing,0.02268097088893804,1.0229401398010052,0.01583765405033271,-0.008360260649318985,0.05372220242719507,0.9916745891443342,1.0551914318173579,0.0,1.4320915722023597,0.15211761609168248,2.716740859796863
lambda_,BASE_HWY_NETWORK_012,0.06025110591814281,1.0621032134657171,0.0020817278580737807,0.05617099429070449,0.06433121754558113,1.0577785423648483,1.066445565753509,0.0,28.942835003367374,3.45389936640943e-184,609.4465434104834
lambda_,BASE_HWY_NETWORK_012_missing,-0.36139490385838624,0.6967038131106197,0.0012303947766553528,-0.3638064333073969,-0.35898337440937556,0.6950257155521501,0.6983859623341612,0.0,-293.7227227514612,0.0,inf
lambda_,DECK_PROTECTION_1,0.1720608818854322,1.1877501434808484,0.0029007620227006984,0.16637549279321728,0.17774627097764711,1.1810164816526139,1.1945221978313902,0.0,59.315752391586486,0.0,inf
lambda_,DECK_PROTECTION_2,0.11069964211566968,1.1170593388820398,0.01509988737683106,0.08110440668646982,0.14029487754486955,1.0844841180494122,1.1506130387856224,0.0,7.331156806210675,2.2817449540085853e-13,41.994927692632416
lambda_,DECK_PROTECTION_3,0.08668285372358722,1.0905507607547091,0.02711970506160959,0.03352920853148382,0.1398364989156906,1.0340976477588706,1.150085743217931,0.0,3.196305178344092,0.0013919979585046182,9.488627189321296
lambda_,DECK_PROTECTION_4,-0.017876414253650916,0.9822824209633159,0.01716672332611629,-0.05152257370540249,0.015769745198100652,0.94978220961641,1.0158947438310515,0.0,-1.0413410826313576,0.2977172761880832,1.74798515296309
lambda_,DECK_PROTECTION_6,-0.049312611974829286,0.9518835129968508,0.011548524519077811,-0.07194730410679955,-0.026677919842859027,0.9305799322599095,0.9736747923575021,0.0,-4.270035699657246,1.9544168167184704e-05,15.64290229204117
