covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
BASE_HWY_NETWORK_012_missing,1.919233038128793,6.815729059854882,6.71924441521088,6.91359917079194,0.0
MAINTENANCE_68,-1.3630519752084898,0.2558786487503427,0.18496598212524537,0.3539779700786665,1.841582959777697e-16
MAINTENANCE_70,-1.3490330260698535,0.2594910604584784,0.21577490371873287,0.3120641432223234,1.381331784355356e-46
MAINTENANCE_64,-1.2276256079271888,0.2929874194471927,0.2757474139453158,0.31130528742274516,0.0
TRAFFIC_LANES_UND_028B_missing,1.1937110400086077,3.299302359822466,2.2171191770239926,4.909702723396856,3.9606511038558845e-09
STRUCTURE_TYPE_043B_8,1.1811045480734745,3.2579708015882574,2.719995138198477,3.9023502634022367,1.1595471601530118e-37
MAINTENANCE_66,-1.0967344523411247,0.33395986685525497,0.29824415296572426,0.37395265443073794,1.5674147631493188e-80
MAINTENANCE_Other,-0.9762390238117279,0.3767252926650295,0.28140606270491075,0.5043315157085827,5.414762955378246e-11
DECK_PROTECTION_1,-0.9094209641917117,0.40275736746573865,0.39175450462910033,0.4140692579949022,0.0
MAINTENANCE_32,-0.8888072835905941,0.41114584081720984,0.33932671352794586,0.4981656193931481,1.149345453952788e-19
SERVICE_ON_042A_2,-0.881484269456753,0.41416771874357533,0.3615278180403029,0.4744722001728086,5.212528893173154e-37
STATE_44,0.822705733390509,2.2766515234138742,2.081724889599774,2.4898305174509443,1.49465419684683e-72
STATE_11,-0.8138711625693088,0.4431392773304024,0.3667110008976952,0.5354963953418326,3.571701126854627e-17
MAINTENANCE_31,-0.8040413266931596,0.44751674333511554,0.41544381058475754,0.4820657582631357,1.1595168967680138e-99
STATE_06,0.7627726615840679,2.144213163593112,2.033663357643416,2.260772449700663,1.7393836027976013e-175
STATE_48,-0.7475866004412866,0.47350793872716856,0.4563786363312026,0.49128015684533216,0.0
DECK_WIDTH_MT_052_missing,-0.7381404016396381,0.4780019812429045,0.43876030480709977,0.5207533397365914,5.4326105082977e-64
SURFACE_TYPE_5,-0.6984944592371869,0.4973334962843053,0.46292427843604067,0.5343003554749712,2.8057372848572586e-81
STATE_28,0.6765508995908909,1.9670813571643289,1.9085992434924401,2.0273554434733194,0.0
STATE_36,0.6755403443425202,1.9650945168499117,1.8906315233872035,2.0424902538572174,1.8326358921485584e-257
STRAHNET_HIGHWAY_100_3,-0.6653332336149657,0.5141021830304017,0.3855954122211612,0.6854362013130817,5.797296660071909e-06
SURFACE_TYPE_Unknown,0.6589758594607332,1.932811849457872,1.8299771355922563,2.0414253122325015,2.195534192171524e-123
STATE_35,0.6508308195178257,1.9171329590165913,1.7766509384104543,2.068723069392596,4.623152239596092e-63
skew_major_variation,0.6480612350658732,1.9118306433757797,1.750403977956977,2.0881444826335316,5.271990961494488e-47
HIGHWAY_SYSTEM_104_missing,0.6475861834067701,1.9109226407478732,1.8862129134347438,1.9359560699185925,0.0
MAIN_UNIT_SPANS_045_missing,-0.6343959809077083,0.5302556761602455,0.4868746168905911,0.5775020351150141,4.5072160136072403e-48
STATE_53,-0.6331216432333044,0.530931831679166,0.49846480869093884,0.5655135627939034,4.272915103519993e-86
ROADWAY_WIDTH_MT_051_missing,-0.6196528391066429,0.5381312232866742,0.49380637078926487,0.5864347456942689,2.523973974594161e-45
SURFACE_TYPE_1,0.6112319501338547,1.8427001156758214,1.8101976209720723,1.8757861997897696,0.0
STATE_22,0.5986234624191998,1.8196123109193516,1.7553574004025863,1.8862192743710753,1.284321305228149e-233
STATE_56,0.5903331113356345,1.804589444487623,1.679818704883875,1.9386276945768803,1.1540722748076702e-58
STRUCTURE_FLARED_035_missing,-0.589198946427051,0.5547715084862842,0.5108812138953629,0.6024324603393699,1.327628792003025e-44
SERVICE_UND_042B_3,-0.5653135243358449,0.5681819799512818,0.4797209324784775,0.672955338165992,5.870870400814154e-11
STATE_38,-0.56251708975336,0.5697730873661844,0.5329543608570785,0.6091354062001045,3.428212046237735e-61
DECK_PROTECTION_2,-0.5618260984947476,0.5701669316447532,0.4860805137591497,0.6687993464849594,5.147728475080229e-12
SERVICE_ON_042A_3,-0.5480992887159576,0.5780474682302742,0.4798694206232021,0.696312082344165,7.872815251235755e-09
TRAFFIC_LANES_ON_028A_missing,0.5462550904348159,1.7267742807758217,1.4191611835067899,2.101064665100876,4.83741725355101e-08
STATE_46,0.5364708108032193,1.709961423328734,1.6145642124325301,1.8109952188690774,6.128680540932892e-75
STATE_42,0.5283730330280657,1.6961704492011278,1.6421662102711136,1.7519506702480363,9.174803084074436e-225
APPR_WIDTH_MT_032_missing,-0.5268444688350613,0.5904652645696279,0.5437600921402982,0.6411820832436594,5.045704065100083e-36
LAT_UND_MT_055B_missing,0.5263523172349398,1.692746431435087,1.668458587668221,1.7173878346844622,0.0
DECK_TYPE_9,0.5247047472545607,1.6899598094379893,1.6453622358955908,1.735766201028158,0.0
OPERATING_RATING_064_missing,0.5224644025764242,1.686177954883319,1.6284076651228057,1.7459977353521443,1.198001109105717e-189
SURFACE_TYPE_7,0.5168157917456033,1.6766802415214157,1.640725562732719,1.713422827170444,0.0
DECK_PROTECTION_3,-0.5062775469603602,0.6027350610025718,0.4573687225337462,0.7943034489748458,0.00032389758285122184
STRUCTURE_KIND_043A_6,-0.5019737581470363,0.605334695541873,0.5761551984936741,0.6359919941446043,3.064722235353097e-88
SURFACE_TYPE_8,0.4897436937932827,1.6318979007880685,1.5942783573093822,1.670405137463527,0.0
STATE_23,-0.4820294227187295,0.6175288921184809,0.5715430514223668,0.6672147122636771,2.803252857875164e-34
STATE_24,-0.47675510656649495,0.6207945391857678,0.5818849467540081,0.6623059455871981,3.0594531899836767e-47
HORR_CLR_MT_047_missing,0.4762804777975684,1.6100745427955345,1.5534979088716416,1.6687116336327448,4.039290509192593e-150
MEMBRANE_TYPE_2,-0.47379084168348123,0.622637468754079,0.5991937162371155,0.6469984697621118,2.478005681980224e-129
SURFACE_TYPE_9,0.4715156792527134,1.602421109969557,1.5599170752961822,1.6460832786182087,5.591163342380143e-259
MAINTENANCE_63,-0.47066211045847334,0.6245885847115237,0.5053427769065183,0.7719728429483608,1.3350625450282825e-05
SERVICE_UND_042B_8,0.46948270383100443,1.5991667363893693,1.4735186088077414,1.7355289817774517,2.4523651300430565e-29
STATE_39,0.4683175043011892,1.597304473224812,1.5421455131033248,1.6544363411269414,2.2367727530573322e-150
SURFACE_TYPE_6,0.4620123262474196,1.5872648681244996,1.5604280928983112,1.6145631913757579,0.0
DEGREES_SKEW_034_missing,-0.4582832064862186,0.6323683600238899,0.5847807290627566,0.6838285238985522,1.6433933760018298e-30
DECK_TYPE_3,0.4468593767336342,1.563394434195752,1.4993684778084975,1.6301544237122705,2.0784335486050895e-97
STATE_47,0.4459565271758345,1.5619835612210304,1.5052886241801386,1.6208138468153075,1.4544856871015708e-123
MEMBRANE_TYPE_3,-0.4353226151185527,0.6470558833909281,0.584251745324057,0.7166111519249148,6.454147751036589e-17
STATE_30,-0.42011073532206006,0.6569740655521638,0.6171755833281372,0.6993389474039832,1.2009022738895939e-39
MAINTENANCE_25,-0.41746828109119405,0.6587123851547516,0.6019956586760655,0.7207726502721258,1.0120069551692957e-19
MAINTENANCE_62,0.4158062609238785,1.51559221099025,1.359707545487736,1.6893483879214322,5.973276296625709e-14
SERVICE_UND_042B_6,0.41561852380135356,1.515307704776662,1.422563694243393,1.614098159152553,4.6314307095039145e-38
ROAD_CLASS_Interstate,0.41078182949241376,1.5079963203437168,1.4512141223597907,1.5670002566350423,1.0679978872311091e-97
STATE_15,-0.40164922470767794,0.669215448768588,0.5809760809261522,0.7708567212553948,2.5849155036998504e-08
STATE_19,0.3995095032766823,1.4910931419428162,1.4361859378942243,1.5480995178165091,9.966826510206301e-97
STRUCTURE_KIND_043A_7,0.3994638758497349,1.491025108751512,1.448716852445346,1.5345689333115071,6.711111082593996e-163
LEFT_LAT_UND_MT_056_missing,0.3946676905486636,1.4838909979757338,1.4565960020381394,1.5116974719087304,0.0
STRUCTURE_TYPE_043B_7,-0.39235566980685854,0.6754638291424806,0.640249403568094,0.71261508708504,8.875202571953639e-47
SERVICE_UND_042B_7,0.3870347149503226,1.4726076118858968,1.3642911059077187,1.5895237967863491,3.1132520081972067e-23
DECK_TYPE_6,0.3837760617621599,1.4678167045886625,1.4267102601756465,1.5101075098487595,1.6042378687007215e-154
MEMBRANE_TYPE_Unknown,-0.3813137882905545,0.682963550028157,0.6556388434612869,0.7114270536574827,7.746661576181678e-75
STATE_54,0.3789389283418589,1.4607338235825833,1.3960314984524578,1.5284349283834293,2.1335436227000583e-60
STRAHNET_HIGHWAY_100_2,0.3767310268220278,1.4575122249484154,1.3878439802864908,1.5306777390319874,2.3563153703999593e-51
MAINTENANCE_12,-0.37569684713092244,0.6868105100626143,0.5318030105328545,0.8869988837780876,0.003992033253030193
STRUCTURE_KIND_043A_5,-0.3657087139659704,0.6937048383141735,0.6741362911267936,0.7138414131304839,1.7633241660461462e-138
MEDIAN_CODE_033_2,0.3604712997704749,1.434005101597503,1.3838418147034988,1.4859867721573812,1.3052840929245122e-87
STATE_55,0.35610117164870303,1.4277519889797332,1.3642683079954923,1.4941897646443898,3.812667814656373e-53
STATE_37,0.35505824385539825,1.4262637229603765,1.3835297429753965,1.4703176550856185,8.0056987808257e-116
STATE_49,0.35487986075484595,1.4260093243061545,1.311969952658038,1.5499612539816476,7.124721006996731e-17
location_imputed,-0.35325266343583295,0.702399700233583,0.6893216047877633,0.7157259187315486,4.516874242107715e-297
DECK_TYPE_5,0.3530732481670816,1.4234354036493968,1.3266574741298751,1.5272731566913607,8.511543413963262e-23
MAINTENANCE_26,-0.3496333366977776,0.7049465203563466,0.6271628205792124,0.7923773225325543,4.594835790383522e-09
STATE_12,0.3474921263471801,1.415513165311581,1.333149792987795,1.502965031918776,6.531663823044768e-30
DECK_PROTECTION_Unknown,-0.3447729816439916,0.7083811507394114,0.6837408990491672,0.7339093733031297,3.237156363774632e-81
SURFACE_TYPE_2,0.3428781867423682,1.4089971169435371,1.3559261855418567,1.4641452438370326,1.3415028740433703e-68
STRUCTURE_TYPE_043B_18,-0.34258682016759834,0.7099314803397273,0.4600442309443339,1.0955527161872871,0.1216975103195684
MAINTENANCE_3,-0.3374857448558081,0.7135621465652908,0.6969097109506585,0.7306124868260233,1.1691750765799828e-172
BASE_HWY_NETWORK_012,-0.3328124065651792,0.7169046681512228,0.7020252996207058,0.7320994036749044,2.3150358048047213e-212
HISTORY_4,0.3275421841977749,1.3875535828981735,1.3472689664220614,1.4290427475120917,2.9291600502411215e-105
TEMP_STRUCTURE_103,0.32498903434136395,1.3840154692563573,1.3450164134199192,1.4241453115582678,5.1709330339214527e-110
DECK_TYPE_7,0.3243671290005519,1.3831550102340242,1.2278158647643556,1.55814714342582,9.471723378832927e-08
MAX_SPAN_LEN_MT_048_missing,0.31399153924953543,1.3688781547618964,0.931840218886998,2.010889168126332,0.10955511034472228
STATE_27,0.31275884608721016,1.367191787620628,1.3013061677983095,1.436413221109853,2.270683046262787e-35
LEFT_CURB_MT_050A_missing,-0.30232096194011504,0.7391008035877847,0.6780660810016951,0.8056294410968237,6.20660452081939e-12
PIER_PROTECTION_111_3,0.3023040506746573,1.3529725363893028,1.1832755619052386,1.5470062453383953,9.8199623064623e-06
HIGHWAY_SYSTEM_104,-0.3006789862172862,0.7403153860485714,0.7215328130059415,0.759586897423239,2.2216986820035174e-116
STATE_04,-0.29750364470315765,0.7426698764046059,0.6836744695833327,0.8067560949803808,1.857267474623545e-12
MEMBRANE_TYPE_8,0.29400510512066313,1.3417907536531883,1.3077792898230383,1.3766867548673385,1.4664264822336579e-111
INVENTORY_RATING_066_missing,-0.29370816627886553,0.7454940199946,0.7029564996547949,0.7906055838741516,1.1475284948241903e-22
STATE_20,-0.29273009099190145,0.7462235259698636,0.71780476778144,0.7757674171376464,2.0729355783857284e-49
SURFACE_TYPE_3,0.2920161173084597,1.3391246005496171,1.2922057566682614,1.387747026000551,5.9528494422281816e-58
STATE_41,-0.2886386979503416,0.749282873941305,0.7039965391246845,0.7974823652965541,1.1439218161510548e-19
ROAD_CLASS_Principal_Arterial,0.2865137369680614,1.331776462339282,1.299721299732813,1.3646222047800114,1.5145250531321105e-117
MAINTENANCE_27,-0.28524638123559937,0.7518289949413695,0.7059313122880094,0.8007108167542758,6.965568840765409e-19
SERVICE_ON_042A_6,0.28317141669064255,1.3273326692908625,1.2500420529686043,1.409402196336394,2.2242926351658095e-20
MEMBRANE_TYPE_1,0.2828571566794339,1.326915607247727,1.2869619915565071,1.3681095792332856,1.7350169900425578e-73
RIGHT_CURB_MT_050B_missing,-0.28015760067196666,0.7556646388157852,0.6933006291494789,0.8236384367011363,1.8303529965325273e-10
DECK_TYPE_8,0.2754435087644461,1.3171146972605394,1.2964413140210165,1.3381177435321994,3.234118058420622e-255
STATE_16,-0.2738247217197882,0.7604653566397479,0.7133660686474603,0.8106743284632084,4.6930850222855197e-17
STATE_34,-0.2731809939308981,0.7609550469190154,0.7204304408561366,0.8037591842224118,1.3209693459016256e-22
VERT_CLR_UND_054B_missing,0.27058397260664835,1.3107296574963065,1.2403421105354542,1.3851115917516672,7.391186973658606e-22
STATE_13,0.2658976051935962,1.3046014674328275,1.2508711902022722,1.3606396902887077,2.908894587902525e-35
DECK_TYPE_Unknown,0.264405412343103,1.3026562021667927,1.2622507601114368,1.3443550478779678,8.826057723099587e-61
MIN_VERT_CLR_010_unrestricted,0.2632846488607936,1.30119705050009,1.27166805722624,1.331411726990415,6.5395606815083855e-112
MAINTENANCE_11,-0.259709448444999,0.7712756485901268,0.7062502998862358,0.8422879625027316,7.499776742326232e-09
STRUCTURE_LEN_MT_049_missing,0.25715410999289867,1.2932444132902847,0.8938173501408387,1.8711665333448722,0.17244800979889902
HISTORY_5,0.25135683183590707,1.2857688057266285,1.2496715504140785,1.3229087444872156,4.663221348584425e-67
PERCENT_ADT_TRUCK_109_missing,0.247366980351296,1.2806489995731363,1.2644238869065465,1.297082313210753,0.0
STRAHNET_HIGHWAY_100_1,0.2438019495884195,1.2760915749994735,1.2487727010012357,1.304008092488743,4.84128878273944e-108
STATE_26,0.2418148330834533,1.2735583501090033,1.2236524379262792,1.3254996442299276,1.9978242917355942e-32
STRUCTURE_KIND_043A_9,-0.24115572992191203,0.7857192568617786,0.7101036729178635,0.8693867869555914,2.996687592647983e-06
HISTORY_3,-0.24103267442071227,0.7858159498879164,0.7584385631223236,0.8141815792647856,1.7200338724404138e-40
STATE_29,-0.24033059784735866,0.7863678465714968,0.7626001778288019,0.8108762731764189,3.6584232888398334e-53
DETOUR_KILOS_019_missing,-0.2360433720224526,0.7897464202905106,0.7124573366734207,0.8754200093914813,7.056705883937193e-06
STRUCTURE_TYPE_043B_13,-0.23324328313479437,0.791960879360279,0.6128801604911603,1.0233681474278244,0.0745294091180327
MAINTENANCE_69,-0.2290858165815322,0.7952602840576626,0.5983032325405365,1.0570541574946695,0.11460944137888328
DECK_TYPE_2,0.22813363942019066,1.2562531991639692,1.228546126199185,1.2845851423521049,2.0644434189032534e-89
NATIONAL_NETWORK_110,0.2278446973636991,1.2558902672168053,1.229737260284592,1.2825994740737392,6.177644142971842e-100
